case_id,question,target_file_name,target_page_no,file_hit@1,page_hit@1,page_hit@3,page_hit@5,mrr,retrieved,chunk_size,chunk_overlap,strategy,rerank,latency_ms,cost_usd,total_tokens
0,"2023년 국가재정운용계획 수립 절차 중, 분야별·지역별 예산협의회 및 간담회 개최 시기와 국회 제출 시기는 언제인가요?",2023_2027 국가재정운용계획 주요내용.pdf,3,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 3}, {""rank"": 2, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 2}, {""rank"": 3, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 1}, {""rank"": 4, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 22}, {""rank"": 5, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 15}]",700,100,similarity,False,1605.4914657142945,0.0,0
1,"불요불급한 자산을 처분하여 회수하는 자금은 어떻게 활용되는지, 그리고 공공기관의 재무건전성 관리 강화를 위해 '22~'26년 재정건전화계획 수정계획을 수립하는 것 외에 어떤 방법이 적용되는지 설명해주세요.",2023_2027 국가재정운용계획 주요내용.pdf,22,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 22}, {""rank"": 2, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 9}, {""rank"": 3, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 18}, {""rank"": 4, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 8}, {""rank"": 5, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 23}]",700,100,similarity,False,1605.4914657142945,0.0,0
2,"북한의 위협에 대응하기 위해 강화해야하는 한국형 3축체계와는 무엇이며, 이를 통해 향상시키려는 국방 분야의 세부적인 전투능력은 무엇인가요?",2023_2027 국가재정운용계획 주요내용.pdf,33,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 33}, {""rank"": 2, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 33}, {""rank"": 3, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 11}, {""rank"": 4, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 3}, {""rank"": 5, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 14}]",700,100,similarity,False,1605.4914657142945,0.0,0
3,사업비 정산에 대한 절차 중 국고지원금 집행 시점과 사업종료 후 발생이자에 대한 처리 방안에 대해서 설명하시오.,2024년+국립대학+육성사업+기본계획.pdf,19,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""2024\ub144+\uad6d\ub9bd\ub300\ud559+\uc721\uc131\uc0ac\uc5c5+\uae30\ubcf8\uacc4\ud68d.pdf"", ""page_no"": 19}, {""rank"": 2, ""source"": ""2024\ub144+\uad6d\ub9bd\ub300\ud559+\uc721\uc131\uc0ac\uc5c5+\uae30\ubcf8\uacc4\ud68d.pdf"", ""page_no"": 20}, {""rank"": 3, ""source"": ""2024\ub144+\uad6d\ub9bd\ub300\ud559+\uc721\uc131\uc0ac\uc5c5+\uae30\ubcf8\uacc4\ud68d.pdf"", ""page_no"": 18}, {""rank"": 4, ""source"": ""2024\ub144+\uad6d\ub9bd\ub300\ud559+\uc721\uc131\uc0ac\uc5c5+\uae30\ubcf8\uacc4\ud68d.pdf"", ""page_no"": 10}, {""rank"": 5, ""source"": ""2024\ub144+\uad6d\ub9bd\ub300\ud559+\uc721\uc131\uc0ac\uc5c5+\uae30\ubcf8\uacc4\ud68d.pdf"", ""page_no"": 21}]",700,100,similarity,False,1605.4914657142945,0.0,0
4,"‘24년 대학혁신지원사업에 대한 성과평가용 자료 제출 및 성과평가 실시가 언제 예정되어있고, 이에 따른 사업비 확정 및 인센티브 지급 시기는 언제인가요?",2024년+국립대학+육성사업+기본계획.pdf,21,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""2024\ub144+\uad6d\ub9bd\ub300\ud559+\uc721\uc131\uc0ac\uc5c5+\uae30\ubcf8\uacc4\ud68d.pdf"", ""page_no"": 21}, {""rank"": 2, ""source"": ""2024\ub144+\uad6d\ub9bd\ub300\ud559+\uc721\uc131\uc0ac\uc5c5+\uae30\ubcf8\uacc4\ud68d.pdf"", ""page_no"": 16}, {""rank"": 3, ""source"": ""2024\ub144+\uad6d\ub9bd\ub300\ud559+\uc721\uc131\uc0ac\uc5c5+\uae30\ubcf8\uacc4\ud68d.pdf"", ""page_no"": 8}, {""rank"": 4, ""source"": ""2024\ub144+\uad6d\ub9bd\ub300\ud559+\uc721\uc131\uc0ac\uc5c5+\uae30\ubcf8\uacc4\ud68d.pdf"", ""page_no"": 11}, {""rank"": 5, ""source"": ""2024\ub144+\uad6d\ub9bd\ub300\ud559+\uc721\uc131\uc0ac\uc5c5+\uae30\ubcf8\uacc4\ud68d.pdf"", ""page_no"": 6}]",700,100,similarity,False,1605.4914657142945,0.0,0
5,"2023년 국가안전시스템 개편에 대한 주요 성과와 함께, 이러한 개편을 통해 어떤 실질적인 훈련이 실시되었는지 설명해주세요.",2024년 행정안전부 업무계획.pdf,3,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 3}, {""rank"": 2, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 3}, {""rank"": 3, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 11}, {""rank"": 4, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 11}, {""rank"": 5, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 12}]",700,100,similarity,False,1605.4914657142945,0.0,0
6,"고향사랑기부제 2.0에서는 어떤 방식으로 기부한도 상향 및 기부방식을 개선하고, 향후 어떤 제도개선이 연구되고 있는지 설명해주세요.",2024년 행정안전부 업무계획.pdf,8,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 8}, {""rank"": 2, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 8}, {""rank"": 3, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 20}, {""rank"": 4, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 20}, {""rank"": 5, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 9}]",700,100,similarity,False,1605.4914657142945,0.0,0
7,"지방공공기관 구조개혁의 향후 계획으로 무엇이 제시되었으며, 이에 따르는 부채감축대상기관의 선정 기준은 무엇인가요?",2024년 행정안전부 업무계획.pdf,9,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 9}, {""rank"": 2, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 9}, {""rank"": 3, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 22}, {""rank"": 4, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 23}, {""rank"": 5, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 8}]",700,100,similarity,False,1605.4914657142945,0.0,0
8,"앞으로 2024년까지 교체되어질 CCTV의 수는 얼마나 되며, 이것이 관제의 범위에 어떤 영향을 미칠 것으로 예상하는가?",2024년 행정안전부 업무계획.pdf,10,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 10}, {""rank"": 2, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 13}, {""rank"": 3, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 13}, {""rank"": 4, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 11}, {""rank"": 5, ""source"": ""2024\ub144 \uc8fc\uc694\uc5c5\ubb34 \ucd94\uc9c4\uacc4\ud68d.pdf"", ""page_no"": 1}]",700,100,similarity,False,1605.4914657142945,0.0,0
9,"처음에 재난피해 규모를 최소화하기 위해 지자체의 신속한 대응이 중요하다고 말씀하셨는데, 이를 위해 지역에서 주도하는 현장 중심의 재난관리 체계를 구축한다고 말씀하셨습니다. 이 중 '상시 상황관리'에서는 어떤 방안을 제시하고 있으며, 이를 어떻게 추진하려는 계획이 있는지 설명하시오.",2024년 행정안전부 업무계획.pdf,11,1,1,1,1,1.0,"[{""rank"": 1, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 11}, {""rank"": 2, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 11}, {""rank"": 3, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 12}, {""rank"": 4, ""source"": ""2023_2027 \uad6d\uac00\uc7ac\uc815\uc6b4\uc6a9\uacc4\ud68d \uc8fc\uc694\ub0b4\uc6a9.pdf"", ""page_no"": 31}, {""rank"": 5, ""source"": ""2024\ub144 \ud589\uc815\uc548\uc804\ubd80 \uc5c5\ubb34\uacc4\ud68d.pdf"", ""page_no"": 10}]",700,100,similarity,False,1605.4914657142945,0.0,0
